(tree,root) pairs of Q4 by direction-0 vertical support S (base = Q3):
conjecture: count(S) = 2^|S| * F_base(S) * 3072   [F = S-rooted forests of base]
 |S|      S (base mask)          count  F_base(S)     match?
   8  0b101010101010101         786432          1        YES
support product conjecture holds for ALL classes: true
total (tree,root) pairs: 679477248 (should be 42467328 * 2^4)
  |S| = 1: 8 classes, counts ALL EQUAL = 2359296
  |S| = 2: 28 classes, counts VARY: [2752512, 2752512, 2752512, 2752512, 2752512, 2752512, 2752512, 2752512, 2752512, 2752512, 2752512, 2752512, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3932160, 3932160, 3932160, 3932160]
  |S| = 3: 56 classes, counts VARY: [2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 2801664, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3538944, 3981312, 3981312, 3981312, 3981312, 3981312, 3981312, 3981312, 3981312]
  |S| = 4: 70 classes, counts VARY: [2211840, 2211840, 2211840, 2211840, 2211840, 2211840, 2654208, 2654208, 2654208, 2654208, 2654208, 2654208, 2654208, 2654208, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 2703360, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3096576, 3145728, 3145728, 3145728, 3145728, 3145728, 3145728, 3981312, 3981312]
  |S| = 5: 56 classes, counts VARY: [2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2064384, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2359296, 2654208, 2654208, 2654208, 2654208, 2654208, 2654208, 2654208, 2654208]
  |S| = 6: 28 classes, counts VARY: [1572864, 1572864, 1572864, 1572864, 1572864, 1572864, 1572864, 1572864, 1572864, 1572864, 1572864, 1572864, 1769472, 1769472, 1769472, 1769472, 1769472, 1769472, 1769472, 1769472, 1769472, 1769472, 1769472, 1769472, 1769472, 1769472, 1769472, 1769472]
  |S| = 7: 8 classes, counts ALL EQUAL = 1179648
  |S| = 8: 1 classes, counts ALL EQUAL = 786432
  direction 1 count-multiset == direction 0: true
  direction 2 count-multiset == direction 0: true
  direction 3 count-multiset == direction 0: true
elapsed: 467.47s
